CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Default),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Federal),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Medicare Advantage),Payer Negotiated Charge: Medicare A MT JF (Plan: All),Payer Negotiated Charge: Medicare B MT JF (Plan: All),Payer Negotiated Charge: Medicare Railroad Palmetto GBA (Plan: All),hospital
3420143,320,73501,TC,,,,XR RT HIP 1 VIEW,264.0,264.0,188.22,188.22,,,,,188.22,,,Fallon_Medical_Complex_Hospital
3420144,320,73501,TC,,,,XR LT HIP 1 VIEW,264.0,264.0,188.22,188.22,,,,,188.22,,,Fallon_Medical_Complex_Hospital
3420145,400,73592,TC,,,,XR LOWER EXT RT INFANT MIN 2V,304.0,304.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3420146,400,73092,TC,,,,XR UPPER EXT RT INFANT MIN 2V,304.0,304.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3420148,320,77075,,,,,XR SKELETAL SURVEY COMPLETE,807.0,807.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3420150,320,74021,,,,,XR ABDOMEN 3 OR MORE VIEWS,380.0,380.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3420151,320,73522,TC,,,,XR HIPS BILAT LTD 3-4V,353.0,353.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440001,402,76811,TC,,,,US OB COMPLETE 1 GEST,882.0,882.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440002,402,76801,TC,,,,US OB < 14WK 1 GEST,631.0,631.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440004,402,76817,TC,,,,US OB TRANSVAGINAL,491.0,491.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440005,402,76812,TC,,,,US OB COMPLETE ADDL GEST,648.0,648.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440006,402,76810,TC,,,,US OB >=14WK ADDL GEST,412.0,412.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440007,402,76802,TC,,,,US OB <14WK ADDL GEST,310.0,310.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440008,402,76536,TC,,,,US HEAD/NECK SOFT TISSUE,624.0,624.0,436.35,436.35,,,,,436.35,,,Fallon_Medical_Complex_Hospital
3440009,402,76705,TC,,,,US ABDOMINAL LTD,588.0,588.0,412.27,412.27,,,,,412.27,,,Fallon_Medical_Complex_Hospital
3440013,402,76770,TC,,,,US RETROPERITONEAL COMP,766.0,766.0,506.24,506.24,,,,,506.24,,,Fallon_Medical_Complex_Hospital
3440014,402,76775,TC,,,,US RETROPERITONEAL LTD,578.0,578.0,369.92,369.92,,,,,369.92,,,Fallon_Medical_Complex_Hospital
3440015,402,76830,TC,,,,US TRANSVAGINAL,409.0,409.0,261.76,261.76,,,,,261.76,,,Fallon_Medical_Complex_Hospital
3440017,402,76700,TC,,,,US ABDOMINAL COMPLETE,843.0,843.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440018,402,76805,TC,,,,US OB > OR = 14WK 1 GEST,693.0,693.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440020,402,76856,TC,,,,US PELVIC GYN COMPLETE,613.0,613.0,392.32,392.32,,,,,392.32,,,Fallon_Medical_Complex_Hospital
3440021,402,76870,TC,,,,US SCROTUM & CONTENTS,303.0,303.0,283.41,283.41,,,,,283.41,,,Fallon_Medical_Complex_Hospital
3440022,480,93308,TC,,,,US TRANSTHORACIC ECHO LTD,1546.0,1546.0,989.44,989.44,,,,,989.44,,,Fallon_Medical_Complex_Hospital
3440025,480,93306,TC,,,,US TRANSTHORACIC ECHO,2126.0,2126.0,1370.93,1370.93,,,,,1370.93,,,Fallon_Medical_Complex_Hospital
3440028,921,93880,TC,,,,US BILATERAL CAROTID,1292.0,1292.0,843.78,843.78,,,,,843.78,,,Fallon_Medical_Complex_Hospital
3440029,921,93970,TC,,,,US VENOUS DOP BILAT,1469.0,1469.0,906.89,906.89,,,,,906.89,,,Fallon_Medical_Complex_Hospital
3440032,402,76881,TC,,,,US EXTREM NONVASCULA COMP,432.0,432.0,416.79,416.79,,,,,416.79,,,Fallon_Medical_Complex_Hospital
3440033,402,76882,TC,,,,US ANATOMIC SPECIFIC LTD,301.0,301.0,192.81,192.81,,,,,192.81,,,Fallon_Medical_Complex_Hospital
3440034,402,76641,TC,,,,US RT BREAST,461.0,461.0,360.8,360.8,,,,,360.8,,,Fallon_Medical_Complex_Hospital
3440035,402,76641,TC,,,,US LT BREAST,461.0,461.0,360.8,360.8,,,,,360.8,,,Fallon_Medical_Complex_Hospital
3440036,921,93971,TC,,,,US RT VENOUS DOPPLER,1178.0,1178.0,772.02,772.02,,,,,772.02,,,Fallon_Medical_Complex_Hospital
3440037,921,93971,TC,,,,US LT VENOUS DOPPLER,1178.0,1178.0,772.02,772.02,,,,,772.02,,,Fallon_Medical_Complex_Hospital
3440038,402,76815,TC,,,,US OB LIMITED,542.0,542.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440039,402,76818,TC,,,,US FETAL BIOPHYSICAL PROF,839.0,839.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3440040,402,76857,TC,,,,US TRANSVAGINAL LTD,295.0,295.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3460008,403,77067,TC,,,,MAMMO SPEC SCREEN w CAD,284.0,284.0,99.24,99.24,,,,,99.24,,,Fallon_Medical_Complex_Hospital
3460010,401,77066,TC,,,,MAMMO DX BILAT w CAD,384.0,384.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3460011,403,77067,TC,,,,MAMMO SCREEN BILAT w CAD,309.0,309.0,99.24,99.24,,,,,99.24,,,Fallon_Medical_Complex_Hospital
3460012,401,77065,TC,,,,MAMMO RT BREAST DX w CAD,350.0,350.0,224.85,224.85,,,,,224.85,,,Fallon_Medical_Complex_Hospital
3460013,401,77065,TC,,,,MAMMO LT BREAST DX w CAD,350.0,350.0,224.85,224.85,,,,,224.85,,,Fallon_Medical_Complex_Hospital
3480001,350,70450,TC,,,,CT HEAD WO CONTRAST,1350.0,1350.0,879.54,879.54,,,,,879.54,,,Fallon_Medical_Complex_Hospital
3480003,350,74170,TC,,,,CT ABDOMEN W/WO CONTRAST,1570.0,1570.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480004,350,74160,TC,,,,CT ABDOMEN W CONTRAST,1022.0,1022.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480007,350,70470,TC,,,,CT HEAD W/WO CONTRAST,2088.0,2088.0,1478.09,1478.09,,,,,1478.09,,,Fallon_Medical_Complex_Hospital
3480008,350,70492,TC,,,,CT NECK SOFT TISSUE W/WO,2334.0,2334.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480009,350,71270,TC,,,,CT CHEST W/WO CONTRAST,2350.0,2350.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480013,350,72132,TC,,,,CT L-SPINE W CONTRAST,1719.0,1719.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480020,350,70482,TC,,,,CT ORBITS SELLA EAR W/WO,1927.0,1927.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480021,350,70481,TC,,,,CT ORBITS SELLA EAR W,1397.0,1397.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480022,350,70460,TC,,,,CT HEAD W CONTRAST,1565.0,1565.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480023,350,70480,TC,,,,CT ORBITS SELLA EAR WO,1185.0,1185.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480024,350,74150,TC,,,,CT ABDOMEN WO CONTRAST,827.0,827.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480025,352,72192,TC,,,,CT PELVIS WO,1033.0,1033.0,679.42,679.42,,,,,679.42,,,Fallon_Medical_Complex_Hospital
3480026,350,71250,TC,,,,CT CHEST WO CONTRAST,1608.0,1608.0,1096.44,1096.44,,,,,1096.44,,,Fallon_Medical_Complex_Hospital
3480027,350,72131,TC,,,,CT L-SPINE WO CONTRAST,1507.0,1507.0,972.81,972.81,,,,,972.81,,,Fallon_Medical_Complex_Hospital
3480028,350,72128,TC,,,,CT T-SPINE WO CONTRAST,1745.0,1745.0,1100.48,1100.48,,,,,1100.48,,,Fallon_Medical_Complex_Hospital
3480029,350,72125,TC,,,,CT C-SPINE WO CONTRAST,1745.0,1745.0,1124.72,1124.72,,,,,1124.72,,,Fallon_Medical_Complex_Hospital
3480030,350,72193,TC,,,,CT PELVIS W CONTRAST,1245.0,1245.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480032,350,70486,TC,,,,CT MAXILLOFACIAL WO,1185.0,1185.0,775.87,775.87,,,,,775.87,,,Fallon_Medical_Complex_Hospital
3480033,350,70487,TC,,,,CT MAXILLOFACIAL W,1398.0,1398.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480034,350,70490,TC,,,,CT NECK SOFT TISSUE WO,1591.0,1591.0,1018.24,1018.24,,,,,1018.24,,,Fallon_Medical_Complex_Hospital
3480035,350,70491,TC,,,,CT NECK SOFT TISSUE W,1803.0,1803.0,1276.1,1276.1,,,,,1276.1,,,Fallon_Medical_Complex_Hospital
3480036,350,71260,TC,,,,CT CHEST W CONTRAST,1817.0,1817.0,1114.11,1114.11,,,,,1114.11,,,Fallon_Medical_Complex_Hospital
3480060,350,74175,TC,,,,CT CTA ABDOMINAL AORTA,3395.0,3395.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480061,350,71275,TC,,,,CT CTA THORACIC AORTA,2980.0,2980.0,2010.48,2010.48,,,,,2010.48,,,Fallon_Medical_Complex_Hospital
3480062,350,71275,TC,,,,CT CHEST CTA PULMO ANGIOG,2980.0,2980.0,2010.48,2010.48,,,,,2010.48,,,Fallon_Medical_Complex_Hospital
3480063,350,70496,TC,,,,CT CTA HEAD,3377.0,3377.0,2163.7,2163.7,,,,,2163.7,,,Fallon_Medical_Complex_Hospital
3480064,350,70498,TC,,,,CT CTA NECK,3977.0,3977.0,2522.3,2522.3,,,,,2522.3,,,Fallon_Medical_Complex_Hospital
3480065,350,75635,TC,,,,CT CTA AORTA FEMORAL R OF,4456.0,4456.0,2810.24,2810.24,,,,,2810.24,,,Fallon_Medical_Complex_Hospital
3480066,255,Q9967,TC,,,,CT- IV- CONTRAST,0.0,0.0,131.85,131.85,,,,,131.85,,,Fallon_Medical_Complex_Hospital
3480067,350,74177,TC,,,,CT ABD/PELVIS W CONTRAST,2332.0,2332.0,1484.24,1484.24,,,,,1484.24,,,Fallon_Medical_Complex_Hospital
3480068,350,74176,TC,,,,CT ABD/PELVIS WO CONTRAST,2115.0,2115.0,1358.71,1358.71,,,,,1358.71,,,Fallon_Medical_Complex_Hospital
3480069,350,74178,TC,,,,CT ABD/PELVIS W/WO CONTRA,3604.0,3604.0,2344.33,2344.33,,,,,2344.33,,,Fallon_Medical_Complex_Hospital
3480070,350,73700,TC,,,,CT RT LOWER EXT WO,1465.0,1465.0,937.6,937.6,,,,,937.6,,,Fallon_Medical_Complex_Hospital
3480071,350,73700,TC,,,,CT LT LOWER EXT WO,1465.0,1465.0,937.6,937.6,,,,,937.6,,,Fallon_Medical_Complex_Hospital
3480074,350,73701,TC,,,,CT RT LOWER EXT W/,1677.0,1677.0,1075.46,1075.46,,,,,1075.46,,,Fallon_Medical_Complex_Hospital
3480075,350,73701,TC,,,,CT LT LOWER EXT W/,1677.0,1677.0,1075.46,1075.46,,,,,1075.46,,,Fallon_Medical_Complex_Hospital
3480076,350,73200,TC,,,,CT RT UPPER EXT WO,1270.0,1270.0,844.11,844.11,,,,,844.11,,,Fallon_Medical_Complex_Hospital
3480077,350,73200,TC,,,,CT LT UPPER EXT WO,1270.0,1270.0,844.11,844.11,,,,,844.11,,,Fallon_Medical_Complex_Hospital
3480078,350,73201,TC,,,,CT RT UPPER EXT W/,1482.0,1482.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480079,350,73201,TC,,,,CT LT UPPER EXT W/,1482.0,1482.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480080,350,73202,TC,,,,CT RT UPPER EXT W/WO,2013.0,2013.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480081,350,73202,TC,,,,CT LT UPPER EXT W/WO,2013.0,2013.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3480082,350,74174,TC,,,,CT CTA ABD PELVIS AORTA,3925.0,3925.0,2648.43,2648.43,,,,,2648.43,,,Fallon_Medical_Complex_Hospital
3480087,350,70486,TC,,,,CT PARANASAL SINUS WO,1185.0,1185.0,775.87,775.87,,,,,775.87,,,Fallon_Medical_Complex_Hospital
3480091,350,,,,,,CT CHEST ABD PELVIS W/WO DONT USE,5744.0,5744.0,1563.18,1563.18,1563.18,1563.18,,,,,,Fallon_Medical_Complex_Hospital
3500001,610,72141,TC,,,,MRI C-SPINE W/O CONTRAST,2186.0,2186.0,1584.55,1584.55,,,,,1584.55,,,Fallon_Medical_Complex_Hospital
3500002,610,72146,TC,,,,MRI T-SPINE WO CONTRAST,1783.0,1783.0,1265.28,1265.28,,,,,1265.28,,,Fallon_Medical_Complex_Hospital
3500004,610,72148,TC,,,,MRI L-SPINE WO CONTRAST,2353.0,2353.0,1552.92,1552.92,,,,,1552.92,,,Fallon_Medical_Complex_Hospital
3500006,610,72195,TC,,,,MRI PELVIS WO CONTRAST,2071.0,2071.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500011,610,74181,TC,,,,MRI ABDOMEN WO CONTRAST,2873.0,2873.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500014,610,71550,TC,,,,MRI CHEST WO CONTRAST,2679.0,2679.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500016,610,70551,TC,,,,MRI BRAIN W/O CONTRAST,2373.0,2373.0,1843.73,1843.73,,,,,1843.73,,,Fallon_Medical_Complex_Hospital
3500019,610,70543,TC,,,,MRI ORBIT FACE NECK WO/W,3187.0,3187.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500020,610,70553,TC,,,,MRI BRAIN W/WO CONTRAST,3152.0,3152.0,2017.28,2017.28,,,,,2017.28,,,Fallon_Medical_Complex_Hospital
3500021,610,72156,TC,,,,MRI C-SPINE W/WO CONT,2675.0,2675.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500022,610,72157,TC,,,,MRI T-SPINE W/ WO CONTRAST,2273.0,2273.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500023,610,72158,TC,,,,MRI L-SPINE W /WO CONT,2793.0,2793.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500025,610,70544,TC,,,,MRA HEAD WO CONTRAST,2120.0,2120.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500026,610,70545,TC,,,,MRA HEAD W CONTRAST,2581.0,2581.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500028,610,70547,TC,,,,MRA NECK WO CONTRAST,2481.0,2481.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500029,610,70548,TC,,,,MRA NECK W CONTRAST,2692.0,2692.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500031,610,74182,TC,,,,MRI ABDOMEN W CONTRAST,3289.0,3289.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500034,255,A9579,TC,,,,MRI GADOLINIUM DYE,0.0,0.0,92.8,92.8,,,,,92.8,,,Fallon_Medical_Complex_Hospital
3500036,610,73218,TC,,,,MRI RT UPPER EXT WO JT WO,1978.0,1978.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500037,610,73218,TC,,,,MRI LT UPPER EXT WO JT WO,1978.0,1978.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500038,610,73221,TC,,,,MRI RT UPPER EXT W JT WO,2023.0,2023.0,1310.58,1310.58,,,,,1310.58,,,Fallon_Medical_Complex_Hospital
3500039,610,73221,TC,,,,MRI LT UPPER EXT W JT WO,2023.0,2023.0,1310.58,1310.58,,,,,1310.58,,,Fallon_Medical_Complex_Hospital
3500040,610,73718,TC,,,,MRI RT LOWER EXT WO JT WO,1835.0,1835.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500041,610,73718,TC,,,,MRI LT LOWER EXT WO JT WO,1835.0,1835.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500042,610,73721,TC,,,,MRI RT LOWER EXT W JT WO,1867.0,1867.0,1175.25,1175.25,,,,,1175.25,,,Fallon_Medical_Complex_Hospital
3500043,610,73721,TC,,,,MRI LT LOWER EXT W JT WO,1867.0,1867.0,1175.25,1175.25,,,,,1175.25,,,Fallon_Medical_Complex_Hospital
3500044,610,73723,TC,,,,MRI RT LOWR EXT W JT W/WO,3061.0,3061.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500045,610,73723,TC,,,,MRI LT LOWR EXT W JT W/WO,3061.0,3061.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500046,610,73220,TC,,,,MRI RT UPR EXT WO JT W/WO,2779.0,2779.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500047,610,73220,TC,,,,MRI LT UPR EXT WO JT W/WO,2779.0,2779.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500048,610,73222,TC,,,,MRI RT UPPER EXT W JT W,2731.0,2731.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500049,610,73222,TC,,,,MRI LT UPPER EXT W JT W,2731.0,2731.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500050,610,73720,TC,,,,MRI RT LWR EXT WOJNT W/WO,2547.0,2547.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500051,610,73720,TC,,,,MRI LT LWR EXT WOJNT W/WO,2547.0,2547.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3500054,610,72197,TC,,,,MRI PELVIS W/WO CONTRAST,2549.0,2549.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3600001,482,93017,,,,,CARDIAC STRESS TEST,289.0,289.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3600002,943,93797,,,,,CR-ORIENT/ASSMT WO MONITO,207.0,207.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3600003,943,93798,,,,,CR-MONITORED EXERCISE,165.0,165.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620001,420,99999,,,,,PT-CONTRACT MILE IRS RAT,0.58,0.58,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620002,420,97110,GP,,,,PT-THERAP PROCEDR 97110,120.0,120.0,80.18,80.18,,,,,80.18,,,Fallon_Medical_Complex_Hospital
3620003,420,97112,GP,,,,PT-NEUROMUSCULAR RE-EDUC,129.0,129.0,85.41,85.41,,,,,85.41,,,Fallon_Medical_Complex_Hospital
3620004,420,97022,GP,,,,PT-WHIRLPOOL,139.0,139.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620005,420,97140,GP,,,,"PT-MANUAL:MOBL,MANIP,TRC",111.0,111.0,73.78,73.78,,,,,73.78,,,Fallon_Medical_Complex_Hospital
3620006,420,97116,GP,,,,PT-GAIT TRAINING,109.0,109.0,72.34,72.34,,,,,72.34,,,Fallon_Medical_Complex_Hospital
3620007,420,97016,GP,,,,PT-VASOPNEUMATIC PROCED,73.0,73.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620008,420,29240,,,,,"PT-STRAPPING, SHOULDER",109.0,109.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620009,420,97035,GP,,,,PT-ULTRASOUND,65.0,65.0,46.51,46.51,,,,,46.51,,,Fallon_Medical_Complex_Hospital
3620010,420,97034,GP,,,,PT-CONTRAST BATH,66.0,66.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620011,420,97033,GP,,,,PT-IONTOPHORESIS,119.0,119.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620013,420,97014,GP,,,,PT-E STIM UNATTENDED/VIS,98.0,98.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620014,420,97535,GP,,,,PT HOME SELF ASSESS  ADLS,127.0,127.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620015,420,99999,,,,,PT-CONTRACT HOURS,137.0,137.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620016,420,97012,GP,,,,PT-MECHANICAL TRACTION,88.0,88.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620017,420,97018,GP,,,,PT-PARAFFIN BATH,41.0,41.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620018,420,97760,GP,,,,PT-ORTHOTICS FIT/TRAIN,141.0,141.0,95.89,95.89,,,,,95.89,,,Fallon_Medical_Complex_Hospital
3620019,420,97530,GP,,,,PT-THERAP ACTIVIT 97530,120.0,120.0,79.11,79.11,,,,,79.11,,,Fallon_Medical_Complex_Hospital
3620021,420,97537,GP,,,,PT-COMMUNITY/WORK TRAIN,102.0,102.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620022,420,97124,GP,,,,PT-MASSAGE,101.0,101.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620023,420,97032,GP,,,,PT-E STIM (MANUAL)ATTEND,127.0,127.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620024,420,97113,GP,,,,PT-AQUATIC THER W/EXERC,160.0,160.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620025,420,64550,,,,,PT-SURF NEUROSTIMUL-TENS,67.0,67.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620026,420,97542,GP,,,,PT-WHEELCHR MGMT TRAING,151.0,151.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620028,420,97533,GP,,,,PT-SENSORY INTEGRATE,121.0,121.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620030,420,29540,,,,,"PT-STRAPPING, ANKLE",93.0,93.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620031,420,29200,,,,,"PT-STRAPPING, THORAX",186.0,186.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620033,420,29260,,,,,"PT-STRAPPING,ELBOW/WRIST",75.0,75.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620034,420,29280,,,,,"PT-STRAPPING,HAND/FINGER",75.0,75.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620035,420,99999,,,,,PT-EXT. STRENGTH PROGRAM,9.0,9.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620036,420,99999,,,,,PT-CONSULT / 1/2 HR,132.0,132.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620037,420,97602,GP,,,,PT-DEBRIDEMENT-NON SELEC,149.0,149.0,98.53,98.53,,,,,98.53,,,Fallon_Medical_Complex_Hospital
3620038,420,97597,GP,,,,PT-DEBRIDEMT SELEC <20CM,288.0,288.0,195.5,195.5,,,,,195.5,,,Fallon_Medical_Complex_Hospital
3620039,420,97598,GP,,,,PT DEBRIDE SEL > 20 CM,90.0,90.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620040,420,97755,GP,,,,PT-ASSIST TECH ASSESSMNT,60.0,60.0,35.84,35.84,,,,,35.84,,,Fallon_Medical_Complex_Hospital
3620041,420,99999,,,,,PT SCHOOL CONTRACT/15MIN,35.0,35.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620045,441,92507,,,,,SPEECH THERAPY - VISIT,89.0,89.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620046,441,92526,,,,,SPEECH TRTMT/SWALLOWING,106.0,106.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620047,444,92506,,,,,SPEECH THERAPY - EVALUAT,147.0,147.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620048,444,92526,,,,,SPEECH EVAL/SWALLOWING,264.0,264.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620050,424,99999,,,,,PT PRE-EMPLOYMENT SCREEN,151.0,151.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620051,420,99999,,,,,PT TRAVEL SCHOOL TIME/15 MIN,35.0,35.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620052,420,99999,,,,,PT  DAHL CONTRACT/15 MIN,19.0,19.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620053,420,99999,,,,,PT DAHL CONTRACT/TRAV 15,19.0,19.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620054,420,29580,,,,,PT UNNA BOOT APPLY,204.0,204.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620055,420,95992,GP,,,,PT CANALITH REPOSITIONING,161.0,161.0,104.04,104.04,,,,,104.04,,,Fallon_Medical_Complex_Hospital
3620056,420,16025,,,,,PT BURN CARE MEDIUM,569.0,569.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620057,420,16020,,,,,PT BURN CARE SMALL,314.0,314.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620058,420,16030,,,,,PT BURN CARE LARGE,678.0,678.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620059,420,97537,GP,,,,PT COMM/WORK REINTEG TRN,119.0,119.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620060,420,97605,GP,,,,PT NEG PRES WOUND <50CM,169.0,169.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620096,420,G8995,CI,,,,PT Sub PT/OT D/C Status G8995 CI,0.01,0.01,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620169,420,,,,,,PT EVAL N/C,0.01,0.01,93.79,93.79,93.79,93.79,,,,,,Fallon_Medical_Complex_Hospital
3620188,420,97606,GP,,,,PT NEG PRESSURE WOUND >50 CM,197.0,197.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3620189,424,97161,GP,,,,PT EVAL LOW COMPLEX,275.0,275.0,179.16,179.16,,,,,179.16,,,Fallon_Medical_Complex_Hospital
3620190,424,97162,GP,,,,PT EVAL MOD COMPLEX,275.0,275.0,181.97,181.97,,,,,181.97,,,Fallon_Medical_Complex_Hospital
3620192,424,97163,GP,,,,PT EVAL HIGH COMPLEX,275.0,275.0,181.66,181.66,,,,,181.66,,,Fallon_Medical_Complex_Hospital
3620193,424,97164,GP,,,,PT EVAL (RE) VISIT CHG,175.0,175.0,117.03,117.03,,,,,117.03,,,Fallon_Medical_Complex_Hospital
3620195,420,97763,GP,,,,PT-ORTHOTICS FIT/TRAIN-SUBSEQUENT VISIT,77.0,77.0,51.35,51.35,,,,,51.35,,,Fallon_Medical_Complex_Hospital
3640001,430,97110,GO,,,,OT-EXERCISE THERAPEUTIC,120.0,120.0,78.42,78.42,,,,,78.42,,,Fallon_Medical_Complex_Hospital
3640002,430,97112,GO,,,,OT-NEUROMUSC RE-ED MVMT,129.0,129.0,89.08,89.08,,,,,89.08,,,Fallon_Medical_Complex_Hospital
3640004,430,97124,GO,,,,OT-MASSAGE / UNIT,101.0,101.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3640005,430,97140,GO,,,,"OT-MANUAL,MOBL,MANIP,TRC",111.0,111.0,76.15,76.15,,,,,76.15,,,Fallon_Medical_Complex_Hospital
3640006,430,97760,GO,,,,OT-ORTHOTIC FIT & TRAING,141.0,141.0,101.36,101.36,,,,,101.36,,,Fallon_Medical_Complex_Hospital
3640007,430,97530,GO,,,,OT-THERAPEUTIC ACTIVITY,120.0,120.0,82.57,82.57,,,,,82.57,,,Fallon_Medical_Complex_Hospital
