"Pricing Data as of September 1, 2019",,,,
,,,,
DESCRIPTION,CDM,CPT, Base Price , Professional Fee 
PUSHER COIL-16 0.016x177CM,4201492,,$935.00 ,
PUSHER COIL-16 0.016X177CM,201492,,$935.00 ,
PUTTY DBM 10CC ALLOFUSE PLUS,3200888,,"$3,000.00 ",
PUTTY DBM 3CC ALLOFUSE PLUS,3200884,,"$1,625.00 ",
PUTTY DBM 5CC ALLOFUSE PLUS,3200887,,"$2,250.00 ",
Pyridoxal 5-Phosphate (PLP)-Mayo,7052206,84207,$218.00 ,
Pyruvate Kinase RBC-Mayo,7052727,84220,$210.00 ,
Pyruvic Acid (ARUP) 0080310,705127,84210,$80.00 ,
Pyruvic Acid Blood-Mayo PYR,7052728,84210,$80.00 ,
Q Fever IGG Phase I,7100482,86638,$73.00 ,
Q Fever IGG Phase II,7100482,86638,$73.00 ,
Q Fever IgM phase I,7052917,86638,$73.00 ,
Q Fever IgM Phase II,7052918,86638,$73.00 ,
Q Fever ISM Phase I,7100482,86638,$27.00 ,
Q Fever ISM Phase II,7100482,86638,$27.00 ,
Quad Screen (2nd Tri) Maternal-Mayo,7052256,81511,$208.00 ,
Quad Screen Maternal (2nd Tri) -Mayo,7052804,81511,$208.00 ,
QuantiFERON TB Gold Plus-Mayo,7051520,86480,$206.00 ,
"Quantiferon(R)-TB, Incubated (State)",7052936,86480,$155.00 ,
QUANTITATIVE,7051959,82542,$97.00 ,
QUICKANCHOR 2/0 MINI PLUS,3204234,,"$1,361.00 ",
QUICKANCHOR 3/0 MICRO PLUS,3204235,,"$1,361.00 ",
Rabbit Epithelium,7051888,86003,$17.00 ,
"Rabies Immune Globulin (RIG), Admin of, for IM or SQ use (Urgent Care)",3851095,96372,$87.00 ,
Rabies RFFIT Endpoint-Mayo,7052431,86382,$98.00 ,
"Rabies Vaccine, Admin of, for IM use (Urgent Care)",3851096,90471,$87.00 ,
RADIATION PHYSICS CONSULT,7230285,77370,$795.00 ,
"RADIATION PHYSICS, PER WEEK",7230011,77336,$748.00 ,
Radiological Guidance Drain,7201442,75989,"$1,716.00 ",$177.00 
Radiology Recovery - ICU -> Radiology Recovery 0 - 60 minutes,6200121,,$206.00 ,
Radiology Recovery - ICU -> Radiology Recovery 1 - 2 hours,6200122,,$279.00 ,
Radiology Recovery - ICU -> Radiology Recovery 2 - 4 hours,6200123,,$497.00 ,
Radiology Recovery - ICU -> Radiology Recovery 4 - 6 hours,6200124,,$571.00 ,
Radiology Recovery - Medical Surgical Unit -> Radiology Recovery 0 - 60 minutes,6100082,,$206.00 ,
Radiology Recovery - Medical Surgical Unit -> Radiology Recovery 1 - 2 hours,6100088,,$279.00 ,
Radiology Recovery - Medical Surgical Unit -> Radiology Recovery 2 - 4 hours,6100084,,$497.00 ,
Radiology Recovery - Medical Surgical Unit -> Radiology Recovery 4 - 6 hours,6100085,,$571.00 ,
Radiology Recovery - Pediatrics -> Radiology Recovery 0 - 60 minutes,6300079,,$206.00 ,
Radiology Recovery - Pediatrics -> Radiology Recovery 1 - 2 hours,6300080,,$279.00 ,
Radiology Recovery - Pediatrics -> Radiology Recovery 2 - 4 hours,6300081,,$497.00 ,
Radiology Recovery - Pediatrics -> Radiology Recovery 4 - 6 hours,6300082,,$571.00 ,
Radiology Recovery - Women's Health -> Radiology Recovery 0 - 60 minutes,6400117,,$206.00 ,
Radiology Recovery - Women's Health -> Radiology Recovery 1 - 2 hours,6400118,,$279.00 ,
Radiology Recovery - Women's Health -> Radiology Recovery 2 - 4 hours,66400119,,$497.00 ,
Radiology Recovery - Women's Health -> Radiology Recovery 4 - 6 hours,6400120,,$571.00 ,
RADPAD FEMORAL ENTRY SHIELD,4204056,,$207.00 ,
RADPAD RADIAL ENTRY SHIELD,4204057,,$207.00 ,
Range of Motion,42095851,95851,$75.00 ,
RANGE OF MOTION,7460784,95851,$75.00 ,
Rapid Respiratory Viral Culture-Mayo,7052729,87252,$196.00 ,
"RBC, AUTOMATED (QUEST)",7052068,85041,$17.00 ,
RECOMBX CV2 AB TEST,7052089,84182,$953.00 ,
RECOMBX HU AB TEST,7052096,83516,"$1,072.00 ",
RECOMBX MaTA AB TEST,7052090,84182,"$1,509.00 ",
RECOMBX Ri AB TEST,7052091,84182,$901.00 ,
RECOMBX Yo AB TEST,7052093,84182,"$1,059.00 ",
RECOMBX ZIC4 AB TEST,7052094,84182,$913.00 ,
RECORDER LOOP REVEAL Linq,4201043,,"$10,794.00 ",
Recovery - Ea Add 1/2 Hr - M/S -> 1 1/2 Hour,6100067,,$182.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 1 Hour,61000678,,$122.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 1/2 Hour,6100080,,$61.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 2 1/2 Hours,6100069,,$302.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 2 Hours,6100068,,$242.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 3 1/2 Hours,6100071,,$423.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 3 Hours,6100070,,$362.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 4 1/2 Hours,6100073,,$545.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 4 Hours,6100072,,$484.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 5 1/2 Hours,6100075,,$665.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 5 Hours,6100074,,$605.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 6 1/2 Hours,6100077,,$786.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 6 Hours,6100076,,$612.00 ,
Recovery - Ea Add 1/2 Hr - M/S -> 7 Hours,6100079,,$846.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 1 1/2 Hour,6300065,,$182.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 1 Hour,6300076,,$122.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 1/2 Hour,6300064,,$61.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 2 1/2 Hours,6300067,,$302.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 2 Hours,6300066,,$242.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 3 1/2 Hours,6300069,,$423.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 3 Hours,6300068,,$362.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 4 1/2 Hours,6300071,,$545.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 4 Hours,6300070,,$484.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 5 1/2 Hours,6300073,,$665.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 5 Hours,6300072,,$605.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 6 1/2 Hours,6300075,,$786.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 6 Hours,6300074,,$636.00 ,
Recovery - Ea Add 1/2 Hr - Peds -> 7 Hours,6300077,,$846.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 1 1/2 Hour,6400103,,$182.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 1 Hour,6400114,,$122.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 1/2 Hour,6400102,,$61.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 2 1/2 Hours,6400105,,$302.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 2 Hours,6400104,,$242.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 3 1/2 Hours,6400107,,$423.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 3 Hours,6400106,,$362.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 4 1/2 Hours,6400109,,$545.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 4 Hours,6400108,,$484.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 5 1/2 Hours,6400111,,$665.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 5 Hours,6400110,,$605.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 6 1/2 Hours,6400113,,$786.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 6 Hours,6400112,,$726.00 ,
Recovery - Ea Add 1/2 Hr - WH -> 7 Hours,6400115,,$846.00 ,
Recovery - Initial Hour - M/S -> Yes,6100066,,$706.00 ,
Recovery - Initial Hour - Pediatrics -> Yes,6300063,,$706.00 ,
Recovery - Initial Hour - Women's Health -> Yes,6400101,,$706.00 ,
RECOVERY 1ST HR-CATH LAB,7536659,,$801.00 ,
RECOVERY EACH ADDED 1/2 HR-CATH LAB,7536694,,$70.00 ,
Red Blood Cells-Leukoreduced,7050395,P9016,$608.00 ,
Red Cell Count,7050023,85041,$41.00 ,
Red Cell Folate-Quest,7050346,82747,$196.00 ,
RED CELL TREATMENT,7051818,86971,$60.00 ,
Reducing Substance Stool-Mayo,7052432,84376,$86.00 ,
RE-EVAL,42097164,97164,$134.00 ,
Re-Evaluation (15 min),7450172,97002,$126.00 ,
Regional Block,6670028,, $447 / Interval ,
RELOAD 30MM VASCULAR STAPLER,3200737,,$332.00 ,
RELOAD 35MM STANDARD CUTTER,3200442,,$772.00 ,
RELOAD 45MM BLUE ETS CUTTER,3200793,,$816.00 ,
RELOAD 45MM STANDARD,3200796,,$947.00 ,
RELOAD 45MM VASCULAR,3200797,,$947.00 ,
RELOAD 45MM WHITE ETS CUTTER,3200792,,$816.00 ,
RELOAD 55MM LINEAR CUTTER,3200076,,$381.00 ,
RELOAD 75MM STANDARD CUTTER,3200067,,$495.00 ,
RELOAD 75MM THICK CUTTER,3200069,,$504.00 ,
"REMOVAL F B, AUDITORY CANAL W/O ANES",69200,69200,$257.00 ,
"REMOVAL F B, CORNEAL",65220,65220,$504.00 ,
"REMOVAL F B, CORNEAL SL",65222,65222,$257.00 ,
"REMOVAL F B, ELBOW OR UPPERARM SUBCUTANEOUS",24200,24200,"$1,989.00 ",
"REMOVAL F B, EMBEDDED, EYELID",67938,67938,$410.00 ,
"REMOVAL F B, FOOT-DEEP",28192,28192,"$1,989.00 ",
"REMOVAL F B, FOREARM OR WRIST",25248,25248,"$3,165.00 ",
"REMOVAL F B, INTRANSAL",30300,30300,$369.00 ,
"REMOVAL F B, MOUTH",40804,40804,"$1,102.00 ",
"REMOVAL F B, MUSCLE COMPLEX",20525,20525,"$3,439.00 ",
"REMOVAL F B, MUSCLE SIMPLE",20520,20520,"$1,989.00 ",
"REMOVAL F B, OCULAR EMBED",65210,65210,$504.00 ,
"REMOVAL F B, OCULAR SURFACE",65205,65205,$154.00 ,
"REMOVAL F B, PHARYNX",42809,42809,$504.00 ,
REMOVAL FB FOOT SUBCUTANEOUS,28190,28190,$838.00 ,
REMOVAL GROSHONG CATH,36589,36589,$897.00 ,
Removal Impacted Cerum with Irrigation,69209,69209,$135.00 ,
REMOVAL IMPACTED CERUMEN,69210,69210,$144.00 ,
REMOVAL IUD,58301,58301,$240.00 ,
"Removal of embedded foreign body, eyelid (urgent Care)",3851104,67938,,$252.00 
"Removal of Foreign Body, External Eye, Conjunctival Superficial (Urgent Care)",3851013,65205,,$126.00 
Removal of Impacted Cerumen requiring instrutmentation - Bilateral  (Urgent Care),3851106,69210,,$210.00 
Removal of Impacted Cerumen requiring instrutmentation - Unilateral  (Urgent Care),3851561,69210,,$114.00 
Removal of Impacted Cerumen using Irrigation/Lavage - Bilateral (Urgent Care,3851562,69209,,$109.00 
Removal of Impacted Cerumen using Irrigation/Lavage - Unilateral (Urgent Care),3851563,69209,,$55.00 
Removal of Skin Tag (Urgent Care),3851063,11200,,$200.00 
REMOVAL SKIN TAG UP TO 15 LESIONS,11200,11200,$257.00 ,
"Removal, non-biodegradable drug delivery implants (Urgent Care)",3851622,11982,,$294.00 
Renal Function Panel,7050958,80069,$91.00 ,
Renin Activity-Mayo,7052336,84244,$251.00 ,
REP MOUTH/TONG >2.5,41252,41252,$733.00 ,
REP MOUTH/TONGUE <2.5 ANTERIOR 2/3 TONGUE,41250,41250,$497.00 ,
"REPAIR COMPLEX 1.1-2.5CM EYE,NO,EAR,LIP",13150,,$800.00 ,
"REPAIR COMPLEX 1.1-2.5CM EYELID,NOSE,EAR,LIP",13151,13151,$950.00 ,
"REPAIR COMPLEX 1.1-2.5CM FA,NK,AX,GEN,H,F",13131,13131,$757.00 ,
"REPAIR COMPLEX 1.1-2.5CM SCL, EXT",13120,13120,$699.00 ,
REPAIR COMPLEX 1.1-2.5CM TRUNK,13100,13100,$699.00 ,
"REPAIR COMPLEX 2.6-7.5CM EYE LID,NOSE,EAR,LIP",13152,13152,"$1,208.00 ",
"REPAIR COMPLEX 2.6-7.5CM FA,NK,AX,GEN,H.F",13132,13132,"$1,200.00 ",
"REPAIR COMPLEX 2.6-7.5CM SCL, EXT",13121,13121,"$1,164.00 ",
REPAIR COMPLEX 2.6-7.5CM TRUNK,13101,13101,"$1,164.00 ",
REPAIR COMPLEX EA ADD 5CM OR LESS-TRUNK,13102,13102,$302.00 ,
"REPAIR COMPLEX EA ADD 5CM-EYELID,NOSE,EAR/LIP",13153,13153,$445.00 ,
"REPAIR COMPLEX EA ADD 5CM-FA,NK,AX,GEN,H,F",13133,13133,$550.00 ,
Repair Extensor Tendon Central Slip,26426,26426,"$2,976.00 ",
REPAIR EXTENSOR TENDON FINGER,26418,26418,"$3,083.00 ",
"Repair extensor tendon finger, primary or secondary; without free graft, each tendon (Urgent Care)",3851199,26418,,"$2,205.00 "
REPAIR EXTENSOR TENDON FOOT EACH,28208,28208,"$3,793.00 ",
"REPAIR INTEMED 12.6-20.0CM SCL,AX,TR,EXT INT",12035,12035,"$1,380.00 ",
"REPAIR INTERMED >30.0CM FA, MM",12057,12057,"$1,224.00 ",
"REPAIR INTERMED >30.0CM NK,H,F,GEN INT",12047,12047,"$2,240.00 ",
"REPAIR INTERMED >30.0CM SCL,AX,TR,EXT INT",12037,12037,"$3,043.00 ",
"REPAIR INTERMED 12.6-20.0CM FA, MM",12055,12055,$894.00 ,
"REPAIR INTERMED 12.6-20.0CM NK,H,F,GEN INT",12045,12045,$815.00 ,
"REPAIR INTERMED 2.5CM OR LESS FA, MM",12051,12051,$558.00 ,
"REPAIR INTERMED 2.5CM OR LESS NK,H,F,GEN INT",12041,12041,$594.00 ,
"REPAIR INTERMED 2.6-7.5CM NK,H,F,GEN INT",12042,12042,$661.00 ,
"REPAIR INTERMED 2.6CM-7.5CM SCL,AX,TR,EXT INT",12032,12032,$693.00 ,
"REPAIR INTERMED 20.1-30.0 SCL,AX,TR,EXT INT",12036,12036,"$1,703.00 ",
"REPAIR INTERMED 20.1-30.0CM  FA,MM",12056,12056,"$1,048.00 ",
"REPAIR INTERMED 20.1-30.0CM NK,H,F,GEN INT",12046,12046,$956.00 ,
"REPAIR INTERMED 25.CM OR LESS SCL,AX,TR,EXT INT",12031,12031,$544.00 ,
"REPAIR INTERMED 26.-5.0CM FA, MM",12052,12052,$726.00 ,
REPAIR INTERMED 5.1-7.5CM FA MM,12053,12053,$757.00 ,
"REPAIR INTERMED 7.6-12.5CM FA, MM",12054,12054,$813.00 ,
"REPAIR INTERMED 7.6-12.5CM SCL,AX,TR,EXT INT",12034,12034,$757.00 ,
"Repair Lip, full thickness, up to half vertical height",40652,40652,"$1,293.00 ",
"REPAIR LIP, FULL THICKNESS, VERMILION ONLY",40650,40650,"$1,174.00 ",
Repair of Nail Bed (Urgent Care),3851012,11760,,$611.00 
REPAIR SIMPLE > 30.0 CM FA,12018,12018,$990.00 ,
"REPAIR SIMPLE >30CM SCL,NK,TR,AX,EXT GEN",12007,12007,$758.00 ,
REPAIR SIMPLE 20.1-30.0CM FA,12017,12017,$839.00 ,
"REPAIR SIMPLE 20.1-30.0CM SCL,NK,TR,AX,EXT GEN",12006,12006,$677.00 ,
REPAIR TENDON REPAIR HAND,26410,26410,"$2,814.00 ",
"Repair, Intermediate (2.6 cm - 5 cm), Wounds of Face, Ear, Eyelids, Nose, Lips, and/or Mucous Membra",3851450,12052,,$730.00 
"Repair, Intermediate, Wounds of Face, Ears, Eyelids - Nose, Lips &/or  Mucous Membranes 7.6 cm to 12",3851098,12054,,$961.00 
"REPAIR-COMPLEX EA ADD 5CM/LESS-SCALP,ARM/LEG",13122,13122,$280.00 ,
"Repair-Intermed 2.5cm or less F, E, Eyelid, N, L a/o MucMem (Urgent Care)",3851069,12051,,$311.00 
"Repair-Intermed 2.5cm or less NK, H, FT a/o EXT GEN (Urgent Care)",3851021,12041,,$487.00 
"Repair-Intermed 2.5cm or less, SCL, AX, TR a/o EXT (Urgent Care)",3851014,12031,,$383.00 
"Repair-Intermed 2.6-7.5cm NK, H, FT a/o EXT GEN (Urgent Care)",3851022,12042,,$594.00 
"Repair-Intermed 2.6-7.5cm SCL, AX, TR a/o EXT (Urgent Care)",3851015,12032,,$456.00 
"Repair-Intermed 7.6-12.5cm SCL, AX, TR a/o EXT (Urgent Care)",3851081,12034,,$611.00 
REPAIR-SIMPLE <2.5CM FA,12011,12011,$426.00 ,
"REPAIR-SIMPLE <2.5CM SCL,NK,TR,EXT GEN, AX",12001,12001,$426.00 ,
"REPAIR-SIMPLE 12.6-20 SCL,NK,TR,AS,EXT GEN",12005,12005,$614.00 ,
REPAIR-SIMPLE 12.6-20CM FA,12016,12016,$757.00 ,
"Repair-Simple 2.5cm or less SCL, NK, AX, EXT GEN, TR, a/o EXT (Urgent Care)",3851019,12001,,$419.00 
"Repair-Simple 2.5cm or less, FA, E, E, N, L a/o MUC MEM (Urgent Care)",3851017,12011,,$456.00 
REPAIR-SIMPLE 2.6-5.0CM FA,12013,12013,$492.00 ,
"Repair-Simple 2.6-5.0cm FA, E, E, N, L a/o MUC MEM (Urgent Care)",3851018,12013,,$509.00 
"REPAIR-SIMPLE 2.6-7.5 SCL,NK,TR,AX, EXT GEN",12002,12002,$469.00 ,
"Repair-Simple 2.6-7.5cm SCL, NK, AX, EXT GEN, TR a/o EXT (Urgent Care)",3851020,12002,,$541.00 
REPAIR-SIMPLE 5.1-7.5CM FA,12014,12014,$542.00 ,
"REPAIR-SIMPLE 7.6-12.5 SCL,NK,TR,AX,EXT GEN",12004,12004,$517.00 ,
REPAIR-SIMPLE 7.6-12.5CM FA,12015,12015,$596.00 ,
"Repair-Simple 7.6-12.5cm SCL, NK, AX, EXT GEN, TR a/o EXT (Urgent Care)",3851016,12004,,$614.00 
Reptilase Time-Mayo,7052742,85635,$121.00 ,
RESERVOIR COLLECTION,3200427,,$455.00 ,
Resp Muscle Train Asthma 15 min 1:1,7530131,,$79.00 ,
RESPIRATORY MOTION MANAGEMENT SIMULATION,7230300,77293,"$1,831.00 ",
RESPIRATORY MOTION MANAGEMENT SIMULATION-PROFEE,7230599,77293,,$639.00 
Respiratory Syncytial Virus,7100747,87280,$146.00 ,
"Respiratory Syncytial Virus (RSV) RNA, PCR",7050999,87634,$176.00 ,
Respiratory Therapy Equipment Set-Up -> Continuous nebulizer set-up,7500253,94640,$278.00 ,
Respiratory Therapy Equipment Set-Up -> Holter Monitor 24 Hour,7520008,93225,$441.00 ,
Respiratory Therapy Equipment Set-Up -> Holter Monitor 48 Hour,7520008,93225,$441.00 ,
Respiratory Therapy Equipment Set-Up -> Peak flow meter,7500257,94799,$137.00 ,
RESUSCITATOR AUTOMATIC RCE,201878,,$204.00 ,
RESUSCITATOR DISP MANUAL,3201882,,$90.00 ,
RESUSCITATOR DISP MANUAL,201882,,$90.00 ,
RESUSCITATOR INFANT W/ PEEP,201890,,$103.00 ,
RESUSCITATOR PEDIATRIC,201443,,$100.00 ,
"Resuscitator, Automatic",7500258,,$204.00 ,
RETAINER VISCERA MEDIUM,3200727,,$492.00 ,
Reticulocyte Count Automated,7050034,85045,$72.00 ,
RETRACTOR C-SECTION LRG 9-14CM,3204138,,$400.00 ,
RETRACTOR C-SECTION XL 11-17CM,3200954,,$483.00 ,
RETRACTOR METRX 18MMX3CM DISP,3201031,,"$1,859.00 ",
RETRACTOR METRX 18MMX4CM DISP,3201032,,"$1,859.00 ",
RETRACTOR METRX 18MMX5CM DISP,3201033,,"$2,043.00 ",
RETRACTOR METRX 18MMX6CM DISP,3201034,,"$2,043.00 ",
RETRACTOR METRX 18MMX7CM DISP,3201035,,"$2,043.00 ",
RETRACTOR METRX 18MMX8CM DISP,3201036,,"$2,043.00 ",
RETRACTOR METRX 18MMX9CM DISP,3201037,,"$2,043.00 ",
RETRACTOR METRX 22MMX3CM DISP,3201024,,"$1,895.00 ",
RETRACTOR METRX 22MMX4CM DISP,3201025,,"$1,724.00 ",
RETRACTOR METRX 22MMX5CM DISP,3201026,,"$1,895.00 ",
RETRACTOR METRX 22MMX6CM DISP,3201027,,"$1,895.00 ",
RETRACTOR METRX 22MMX7CM DISP,3201028,,"$1,895.00 ",
RETRACTOR METRX 22MMX8CM DISP,3201029,,"$1,895.00 ",
RETRACTOR METRX 22MMX9CM DISP,3201030,,"$1,895.00 ",
RETRACTOR RING 32.5CMX18.3CM,3200900,,$526.00 ,
RETRACTOR V-CARE MEDIUM,3200860,,$557.00 ,
RETRACTOR WOUND MED 5-9CM,3204139,,$483.00 ,
RETRACTOR WOUND SMALL 2.5-6CM,3200955,,$288.00 ,
RETRIEVER SUTURE,3200752,,$329.00 ,
Return to Work Physical Exam (Occ Health),3851852,99212,,$103.00 
Return to Work Screen - Rehab (Occ Health),3851825,,$213.00 ,
RF Arthrogram Ankle Left,7200740,73615,$558.00 ,
RF Arthrogram Ankle Right,7200739,73615,$558.00 ,
RF Arthrogram Elbow Bilateral,7200729,73085,$930.00 ,
RF Arthrogram Elbow Left,7200731,73085,"$1,347.00 ",
RF Arthrogram Elbow Right,7200730,73085,"$1,347.00 ",
RF Arthrogram Hip Left,7200668,73525,$930.00 ,
RF Arthrogram Hip Right,7200667,73525,$930.00 ,
RF Arthrogram Knee Left,7200680,73580,$930.00 ,
RF Arthrogram Knee Right,7200679,73580,$930.00 ,
RF Arthrogram Shoulder Left,7200626,73040,"$1,418.00 ",
RF Arthrogram Shoulder Right,7200625,73040,"$1,418.00 ",
RF Arthrogram Wrist Left,7200650,73115,$930.00 ,
RF Arthrogram Wrist Right,7200649,73115,$930.00 ,
RF Barium Enema Single Contrast,7200166,74270,$678.00 ,
RF Barium Enema Single Contrast - Report,7200166,74270,,$174.00 
RF Barium Enema w/ Air Contrast,7200167,74280,"$1,119.00 ",
RF Barium Enema w/ Air Contrast - Report,7200167,74280,,$207.00 
RF C-Arm Fluoroscopy,7200003,76000,$721.00 ,
RF C-Arm Fluoroscopy - Report,7200003,76000,,$46.00 
RF C-Arm.,72000030,76000,$721.00 ,
RF Chest Fluoroscopy,7201567,71046,$318.00 ,
RF Chest Fluoroscopy - Report,7210567,71046,,$110.00 
RF Cholangiogram in OR,7200169,74300,$635.00 ,
RF Cholangiogram in OR - Report,7200169,74300,,$117.00 
RF Cholangiogram w/ Existing Catheter,7200170,47531,"$4,262.00 ",
RF Cholangiogram w/ Existing Catheter - Report,7200170,47531,,$250.00 
RF Esophagus,7200161,74220,$627.00 ,
RF Esophagus - Report,7200161,74220,,$114.00 
RF Fistula or Sinus Tract Abscess Study,7200212,76080,$720.00 ,
RF Fistula or Sinus Tract Abscess Study - Report,7200212,76080,,$203.00 
RF Fluoroscopy Unlisted Procedure,7201206,76496,$816.00 ,
RF Fluoroscopy Unlisted Procedure - Report,7201206,76496,,$149.00 
RF Fluoroscopy Up to 1 Hour,7200095,76000,$721.00 ,
RF Fluoroscopy Up to 1 Hour - Report,7200095,76000,,$46.00 
RF Gastrografin Enema,7201384,74270,$678.00 ,
RF Gastrografin Enema - Report,7201384,74270,,$174.00 
RF Gastrografin Esophagus,7201385,74241,$803.00 ,
RF Gastrografin Esophagus - Report,7201385,74241,,$186.00 
RF OR Port Placement,7201550,77001,$370.00 ,
RF OR Port Placement - Report,7201550,77001,,$83.00 
RF Pharynx or Larynx w/ Fluoroscopy,7200997,70370,$435.00 ,
RF Pharynx or Larynx w/ Fluoroscopy - Report,7200997,70370,,$83.00 
RF Quantitative IGA,7050456,86431,$87.00 ,
RF Quantitative IGG,7050456,86431,$87.00 ,
RF Quantitative IGM,7050456,86431,$87.00 ,
RF Small Bowel via Enteroclysis Tube,7200226,74251,"$1,193.00 ",
RF Small Bowel via Enteroclysis Tube - Report,7200226,74251,,$131.00 
RF Small Bowel w/ Serial Films,7200165,74250,$714.00 ,
RF Small Bowel w/ Serial Films - Report,7200165,74250,,$122.00 
RF Swallowing Function with Speech,7200252,74230,$534.00 ,
RF Swallowing Function with Speech - Report,7200252,74230,,$134.00 
RF Upper GI,7200257,74240,$768.00 ,
RF Upper GI - Report,7200257,74240,,$188.00 
RF Upper GI and KUB,7200258,74241,$803.00 ,
RF Upper GI and KUB - Report,7200258,74241,,$186.00 
RF Upper GI w/ Air Contrast,7200162,74246,$691.00 ,
RF Upper GI w/ Air Contrast - Report,7200162,74246,,$182.00 
RF Upper GI w/ Air Contrast and KUB,7200163,74247,$898.00 ,
RF Upper GI w/ Air Contrast and KUB - Report,7200163,74247,,$189.00 
RF Upper GI w/ Air w/ Small Bowel,7200259,74249,"$1,111.00 ",
RF Upper GI w/ Air w/ Small Bowel - Report,7200259,74249,,$232.00 
RF Upper GI w/ Gastrografin,7201386,74240,$768.00 ,
RF Upper GI w/ Gastrografin - Report,7201386,74240,,$188.00 
RF Upper GI w/ Small Bowel,7200164,74245,"$1,020.00 ",
RF Upper GI w/ Small Bowel - Report,7200164,74245,,$222.00 
RF Urethrocystography Retrograde,7200183,74450,$556.00 ,
RF Urethrocystography Retrograde - Report,7200183,74450,,$100.00 
RF Urethrocystography Voiding,7200184,74455,$681.00 ,
RF Urethrocystography Voiding - Report,7200184,74455,,$103.00 
RF Urography Retrograde,7200762,74420,$930.00 ,
RF Urography Retrograde - Report,7200762,74420,,$54.00 
Rh(D) typing,7050103,86901,$78.00 ,
Rh(D) typing,7050103,86901,$78.00 ,
Rheumatoid Factor (Quant)-Mayo,7052218,86431,$74.00 ,
Rheumatoid Factor IgA,7050457,83520,$107.00 ,
Rheumatoid Factor IgG,7050457,83520,$107.00 ,
Rheumatoid Factor IgM,7050457,83520,$107.00 ,
Rheumatoid Factor Qualitative,7050034,86430,$86.00 ,
Rhizopus,7051889,86003,$17.00 ,
Rhodstorula,7051890,86003,$17.00 ,
RHYTHM STRIP TRACING,93041,93041,$81.00 ,
Ribosomal P Protein Antibody,7050240,83516,$91.00 ,
Ribosome P Ab IgG-Mayo,7052609,83516,$135.00 ,
Rice F9 IGE,7050475,86003,$17.00 ,
"Rice, White",7051875,86003,$17.00 ,
"Rickettsia (Spotted Fever) AB, IGM, CSF",7051395,86757,$137.00 ,
RICKETTSIA (SPOTTED FEVER)IGG,7051395,86757,$137.00 ,
Rickettsia IGG Typhus Fever,7051395,86757,$137.00 ,
Rickettsia IGM Typhus Fever,7051395,86757,$137.00 ,
RIGID CAST,7460228,29445,$827.00 ,
RMVL DEVITAL TIS 20 CM/<,7460233,97597,$426.00 ,
RMVL DEVITAL TIS 20 CM/< PROFEE,7460135,97597,,$50.00 
RMVL DEVITAL TIS ADDL 20CM/<,7460234,97598,$193.00 ,
RMVL DEVITAL TIS ADDL 20CM/< PROFEE,7460136,97598,,$23.00 
"RNA Polymerase III Ab, IgG Serum-Mayo",7055763,83516,$135.00 ,
RNP,7050871,86235,$66.00 ,
RNP Antibody IgG-Mayo,7052207,86235,$107.00 ,
ROLL CERVICAL,203192,,$128.00 ,
ROLL LUMBAR,203191,,$130.00 ,
ROM (Rupture of Membranes),7050414,84112,$221.00 ,
ROOM/BED: ICU,6200066,,"$6,164.00 ",
ROOM/BED: ICU @ Private Rate,6200071,,"$1,820.00 ",
